,Monocytes.C,NK,T.CD8.Memory,T.CD4.Naive,T.CD8.Naive,B.Naive,T.CD4.Memory,MAIT,T.gd.Vd2,Neutrophils.LD,T.gd.non.Vd2,Basophils.LD,Monocytes.NC.I,B.Memory,mDCs,pDCs,Plasmablasts
CYFZ,0.07522927533123003,0.07095717351975121,0.31961152968050344,0.0,0.007333097558274696,0.0398614309754654,0.13403876156896244,0.05448301906936303,0.03575252140748383,0.01898700311842378,0.09079463316320537,0.011039570366227682,0.10624129573453624,0.011101537494544931,0.014950056728098186,0.03332772505545348,0.0007704680248928715
FY2H,0.34525619068149205,0.06251435320357823,0.10836311924762496,0.0501457560858852,0.000909513965187242,0.024885773088486978,0.09358098024678332,0.06017227427921661,0.04589816401235982,0.03714256952023141,0.10795294936642455,0.0031658225419556015,0.05145614130842933,0.0014299145129621237,0.0036219541602018237,0.01321778828385636,0.0033722942139905003
FLWA,0.18473827772611584,0.28229219916978343,0.07571637198806574,0.042907706515426844,0.0,0.036438731434369515,0.04454799026928269,0.03338959060952841,0.0524028926508711,0.044822370447962265,0.054142045870953816,0.01679149066320034,0.021631155109748838,0.051581554172830724,0.05095454220692144,0.007250694597542305,0.0058650059026950415
453W,0.26320942389177393,0.05422574659050641,0.23379300541526277,0.03379734775496838,0.0062739387127832245,0.022746434373980103,0.12183334992439113,0.029975619210375563,0.033587521159125756,0.03461192275860534,0.022205897939581117,0.023616602218866883,0.014737789956941402,0.023223494957779763,0.07331638009285234,0.016730635872973392,0.0028128074889911207
684C,0.19581654410290958,0.08861819815405603,0.20660040137071867,0.11560609414787831,0.03552791091783368,0.1047063878452653,0.06880802982292356,0.0,0.005937509383467042,0.004228872550937243,0.009172039706751116,0.09013607921844127,0.011443003629413116,0.06016116067926529,0.0,0.0383588518759923,0.004866467502805563
CZJE,0.19527810716176644,0.11142981319059421,0.034614573644579844,0.09726143734261912,0.0,0.08044813785457876,0.09320536438127933,0.07406404200486616,0.0364193209751299,0.1090039590853257,0.03467139356587718,0.01954710086615804,0.05089924395265625,0.024920517950735202,0.06270938744994033,0.0,0.0039488492419991455
925L,0.16335861918984187,0.011355222508352948,0.18894604789234531,0.04317622850979138,0.009417555393062712,0.15700211856880866,0.08977962700693339,0.07725557916945477,0.13178056541655164,0.041371688784467946,0.00782911634654508,0.014526408098795875,0.0,0.032195177912702426,0.021525936576934555,0.0013146727504470346,0.002418224252321941
9JD4,0.09023127273195858,0.030382821924354365,0.2369991399151717,0.10048500500203983,0.11217753285430038,0.0450883781688472,0.09639471317220497,0.042569032749611095,0.055707946442338056,0.0,0.04313553506922447,0.008168835915974771,0.008179632650386062,0.08220460488452443,0.03266388949650835,0.008354890886744373,0.005548984847086633
G4YW,0.2297283170130722,0.16893657710905385,0.12151111668898318,0.023221274801625644,0.051946715015453004,0.06263130328240438,0.07415983259146877,0.019818055577389148,0.026427225523230884,0.0011126040435101966,0.04154637701647895,0.014516030880335996,0.04895045709814367,0.08833030310347692,0.0003666716734091231,0.014060207458219861,0.006960280876040713
4DUY,0.13274030184983665,0.0940449844528205,0.07046533988709315,0.14549399683090228,0.012794233618360268,0.011379967840954358,0.11079159486755143,0.027567655913869282,0.07173265244683188,0.0704152517412442,0.011673218691535696,0.10890985515547555,0.07349190943403178,0.012652782718092243,0.0321093523821201,0.005945607729105013,0.007786593611512816
36TS,0.24627872506982135,0.014365126220486354,0.08641556875212544,0.06859132332827644,0.050951818724094065,0.048400134030014225,0.17044074445220153,0.0365111663932389,0.02632908214124011,0.025744126090511812,0.09129435871799095,0.01215394783947014,0.05457440996403801,0.03180370802404686,0.013223353532758381,0.014867071346049308,0.0027403790888726434
CR3L,0.18946311469120244,0.03717253165422166,0.02745046759943947,0.1319440628581762,0.197566151528631,0.08201457724881678,0.036217745582632896,0.038189033402550525,0.037822174197368066,0.060434179600041264,0.014568936805804743,0.05509501892712964,0.018483644635641193,0.038346275968504547,0.02264433184642821,0.011325634301936522,0.006517804970999911
